	reads.in	reads.out
AP16-1-T0-C_S87_L001_R1_001.fastq.gz	357113	305533
OF61-3-T0-C_S119_L001_R1_001.fastq.gz	376012	310298
OF61-2-T0-C_S118_L001_R1_001.fastq.gz	376441	310957
OF61-28-T0-L_S124_L001_R1_001.fastq.gz	384210	311410
AP20-4-T0-C_S100_L001_R1_001.fastq.gz	368884	312974
AP20-34-T1-L_S145_L001_R1_001.fastq.gz	364274	314547
AP20-7-T1-C_S138_L001_R1_001.fastq.gz	377554	316432
AP20-46-T4-L_S602_L002_R1_001.fastq.gz	423119	319990
OF3-27-T0-L_S113_L001_R1_001.fastq.gz	371178	324613
AP20-30-T0-L_S106_L001_R1_001.fastq.gz	396350	326443
AP20-17-T3-C_S558_L002_R1_001.fastq.gz	381864	327458
AP16-4-T0-C_S90_L001_R1_001.fastq.gz	385282	332252
AP20-22-T4-C_S598_L002_R1_001.fastq.gz	427479	332806
AP16-23-T4-C_S589_L002_R1_001.fastq.gz	395981	345725
AP16-17-T3-C_S548_L002_R1_001.fastq.gz	423139	356885
OF61-5-T0-C_S121_L001_R1_001.fastq.gz	410475	361615
OF3-4-T0-C_S110_L001_R1_001.fastq.gz	443583	368382
AP16-33-T1-L_S134_L001_R1_001.fastq.gz	450191	384599
OF61-22-T4-C_S618_L002_R1_001.fastq.gz	494872	405236
OF61-41-T3-L_S582_L002_R1_001.fastq.gz	496556	413541
OF3-20-T3-C_S571_L002_R1_001.fastq.gz	502375	418243
AP20-49-T4-L_S605_L002_R1_001.fastq.gz	521341	419194
OF61-40-T2-L_S546_L002_R1_001.fastq.gz	484063	429268
AP16-42-T3-L_S553_L002_R1_001.fastq.gz	518186	429816
OF3-45-T3-L_S576_L002_R1_001.fastq.gz	577585	444733
OF3-11-T2-C_S527_L002_R1_001.fastq.gz	559195	450172
OF61-15-T2-C_S541_L002_R1_001.fastq.gz	515290	450454
OF61-47-T4-L_S443_L002_R1_001.fastq.gz	528354	450823
AP20-42-T3-L_S563_L002_R1_001.fastq.gz	554596	457318
OF3-13-T2-C_S529_L002_R1_001.fastq.gz	542206	457342
OF61-23-T4-C_S439_L002_R1_001.fastq.gz	591479	463295
AP20-41-T3-L_S562_L002_R1_001.fastq.gz	575779	468060
OF3-46-T4-L_S612_L002_R1_001.fastq.gz	546844	471696
OF3-14-T2-C_S530_L002_R1_001.fastq.gz	559042	478928
OF3-50-T4-L_S616_L002_R1_001.fastq.gz	656018	481509
AP20-40-T2-L_S526_L002_R1_001.fastq.gz	594560	486534
OF61-14-T2-C_S540_L002_R1_001.fastq.gz	553888	489985
AP16-25-T4-C_S591_L002_R1_001.fastq.gz	562788	492755
AP16-46-T4-L_S592_L002_R1_001.fastq.gz	655107	493524
AP16-20-T3-C_S551_L002_R1_001.fastq.gz	664661	496859
AP16-18-T3-C_S549_L002_R1_001.fastq.gz	573255	501078
OF61-11-T2-C_S537_L002_R1_001.fastq.gz	651043	510441
AP16-45-T3-L_S556_L002_R1_001.fastq.gz	685654	512014
OF3-38-T2-L_S534_L002_R1_001.fastq.gz	648408	526644
AP20-25-T4-C_S601_L002_R1_001.fastq.gz	616298	531772
OF61-37-T2-L_S543_L002_R1_001.fastq.gz	618223	533778
OF3-49-T4-L_S615_L002_R1_001.fastq.gz	645047	537356
OF3-12-T2-C_S528_L002_R1_001.fastq.gz	729582	541057
OF3-36-T2-L_S532_L002_R1_001.fastq.gz	625146	541133
OF61-39-T2-L_S545_L002_R1_001.fastq.gz	622358	541733
OF3-44-T3-L_S575_L002_R1_001.fastq.gz	656145	547650
