init	chloros_removed	mitos_removed	pruned			
OF3-39-T2-L	241186	170653	170653	170530		
OF3-4-T0-C	145289	138462	138336	137677		
OF3-40-T2-L	165138	152746	152746	151784		
OF3-41-T3-L	196258	125161	124569	122094		
OF3-42-T3-L	277336	238911	238911	238761		
OF3-43-T3-L	292838	282611	282611	281786		
OF3-44-T3-L	254221	209203	209203	208866		
OF3-45-T3-L	176369	114648	114648	114432		
OF3-46-T4-L	172792	105932	105862	103428		
OF3-47-T4-L	77729	65641	65641	65499		
OF3-48-T4-L	194981	125665	125491	122909		
OF3-49-T4-L	183785	172519	172160	171080		
OF3-5-T0-C	104509	71709	71707	71398		
OF3-50-T4-L	195810	154757	154636	154198		
OF3-6-T1-C	164190	163770	163770	163634		
OF3-7-T1-C	141246	141219	141219	140922		
OF3-8-T1-C	119690	108757	108732	108615		
OF3-9-T1-C	93155	92575	92575	92470		
OF61-1-T0-C	83066	82761	82761	82668		
OF61-10-T1-C	70436	69362	69362	69299		
OF61-11-T2-C	193877	161556	161498	161230		
OF61-12-T2-C	269891	267394	267394	267277		
OF61-13-T2-C	194359	191153	191153	190599		
OF61-14-T2-C	162986	121799	121632	116839		
OF61-15-T2-C	164850	104223	104107	100539		
OF61-16-T3-C	340336	335740	335740	335591		
OF61-17-T3-C	187653	178885	178757	177684		
OF61-18-T3-C	344714	335522	335517	335162		
OF61-19-T3-C	260817	248475	248475	248294		
OF61-2-T0-C	147088	145995	145995	145910		
OF61-20-T3-C	355693	295330	295330	295048		
OF61-21-T4-C	272613	238236	238222	237815		
OF61-22-T4-C	159890	157599	157583	157273		
OF61-23-T4-C	130620	51359	51359	51180		
OF61-24-T4-C	274123	238280	238280	238067		
OF61-25-T4-C	340949	299488	299472	299099		
OF61-26-T0-L	62006	49491	49478	49211		
OF61-27-T0-L	121868	119349	119342	119206		
OF61-28-T0-L	129372	126557	126557	126454		
OF61-29-T0-L	102228	85749	85695	85193		
OF61-3-T0-C	128923	95141	94908	94329		
OF61-30-T0-L	108618	107145	107145	106960		
OF61-31-T1-L	46447	45134	45134	45020		
OF61-32-T1-L	113159	110126	110126	110043		
