"reads.in"	"reads.out"
"AP5-93-T4-C_S795_L002_R1_001.fastq"	514114	444250
"AP5-94-T4-C_S796_L002_R1_001.fastq"	445412	374182
"AP5-95-T4-C_S797_L002_R1_001.fastq"	413556	340694
"AP5-96-T0-K_S798_L002_R1_001.fastq"	489705	411140
"AP5-97-T0-K_S799_L002_R1_001.fastq"	519314	440143
"AP5-98-T0-K_S800_L002_R1_001.fastq"	568180	478792
"AP5-99-T0-K_S801_L002_R1_001.fastq"	549726	464265
"OF3-100-T0-K_S285_L001_R1_001.fastq"	529942	408024
"OF3-101-T1-K_S286_L001_R1_001.fastq"	627881	463771
"OF3-102-T1-K_S287_L001_R1_001.fastq"	568310	457117
"OF3-103-T1-K_S288_L001_R1_001.fastq"	459415	279798
"OF3-104-T1-K_S289_L001_R1_001.fastq"	553503	445901
"OF3-105-T1-K_S290_L001_R1_001.fastq"	561054	413511
"OF3-106-T2-K_S291_L001_R1_001.fastq"	595595	422927
"OF3-107-T2-K_S292_L001_R1_001.fastq"	758153	556956
"OF3-108-T2-K_S293_L001_R1_001.fastq"	596228	436495
"OF3-109-T2-K_S294_L001_R1_001.fastq"	535267	425696
"OF3-110-T2-K_S295_L001_R1_001.fastq"	589439	470854
"OF3-111-T3-K_S296_L001_R1_001.fastq"	482734	330415
"OF3-112-T3-K_S297_L001_R1_001.fastq"	412845	331788
"OF3-113-T3-K_S298_L001_R1_001.fastq"	595265	441073
"OF3-114-T3-K_S299_L001_R1_001.fastq"	575723	411648
"OF3-115-T3-K_S300_L001_R1_001.fastq"	485125	341818
"OF3-116-T4-K_S301_L001_R1_001.fastq"	642956	474781
"OF3-117-T4-K_S302_L001_R1_001.fastq"	254913	190248
"OF3-118-T4-K_S303_L001_R1_001.fastq"	623084	501719
"OF3-119-T4-K_S304_L001_R1_001.fastq"	1046329	795368
"OF3-120-T4-K_S305_L001_R1_001.fastq"	604851	419105
"OF3-71-T0-C_S256_L001_R1_001.fastq"	1005498	801121
"OF3-72-T0-C_S257_L001_R1_001.fastq"	860597	602091
"OF3-73-T0-C_S258_L001_R1_001.fastq"	888015	630782
"OF3-74-T0-C_S259_L001_R1_001.fastq"	893498	663471
"OF3-75-T0-C_S260_L001_R1_001.fastq"	610278	433831
"OF3-76-T1-C_S261_L001_R1_001.fastq"	575710	406895
"OF3-77-T1-C_S262_L001_R1_001.fastq"	683861	486411
"OF3-78-T1-C_S263_L001_R1_001.fastq"	576358	419475
"OF3-79-T1-C_S264_L001_R1_001.fastq"	509903	349926
"OF3-80-T1-C_S265_L001_R1_001.fastq"	534624	391650
"OF3-81-T2-C_S266_L001_R1_001.fastq"	754933	575911
"OF3-82-T2-C_S267_L001_R1_001.fastq"	605945	461479
"OF3-83-T2-C_S268_L001_R1_001.fastq"	778380	571128
"OF3-84-T2-C_S269_L001_R1_001.fastq"	682285	512062
"OF3-85-T2-C_S270_L001_R1_001.fastq"	603045	418897
"OF3-86-T3-C_S271_L001_R1_001.fastq"	467056	232401
"OF3-87-T3-C_S272_L001_R1_001.fastq"	682529	495362
"OF3-88-T3-C_S273_L001_R1_001.fastq"	675004	552871
"OF3-89-T3-C_S274_L001_R1_001.fastq"	586417	393946
"OF3-90-T3-C_S275_L001_R1_001.fastq"	654628	522607
"OF3-91-T4-C_S276_L001_R1_001.fastq"	608422	429870
"OF3-92-T4-C_S277_L001_R1_001.fastq"	824481	631549
"OF3-93-T4-C_S278_L001_R1_001.fastq"	546634	437809
"OF3-94-T4-C_S279_L001_R1_001.fastq"	708420	514153
"OF3-95-T4-C_S280_L001_R1_001.fastq"	792847	619007
"OF3-96-T0-K_S281_L001_R1_001.fastq"	627660	477833
"OF3-97-T0-K_S282_L001_R1_001.fastq"	586247	467140
"OF3-98-T0-K_S283_L001_R1_001.fastq"	676613	456571
"OF3-99-T0-K_S284_L001_R1_001.fastq"	592917	472761
"OF61-100-T0-K_S335_L001_R1_001.fastq"	447313	328059
"OF61-101-T1-K_S336_L001_R1_001.fastq"	437159	339123
"OF61-102-T1-K_S337_L001_R1_001.fastq"	668827	544475
"OF61-103-T1-K_S338_L001_R1_001.fastq"	510720	317090
"OF61-104-T1-K_S339_L001_R1_001.fastq"	567489	455361
"OF61-105-T1-K_S340_L001_R1_001.fastq"	427645	246277
"OF61-106-T2-K_S341_L001_R1_001.fastq"	607041	460443
"OF61-107-T2-K_S342_L001_R1_001.fastq"	554012	451494
"OF61-108-T2-K_S343_L001_R1_001.fastq"	520524	370129
"OF61-109-T2-K_S344_L001_R1_001.fastq"	268096	183020
"OF61-110-T2-K_S345_L001_R1_001.fastq"	423836	292731
"OF61-111-T3-K_S346_L001_R1_001.fastq"	610389	436786
"OF61-112-T3-K_S347_L001_R1_001.fastq"	477315	334286
"OF61-113-T3-K_S348_L001_R1_001.fastq"	513567	414253
"OF61-114-T3-K_S349_L001_R1_001.fastq"	485214	349978
"OF61-115-T3-K_S350_L001_R1_001.fastq"	533423	389114
"OF61-116-T4-K_S718_L002_R1_001.fastq"	631852	495752
"OF61-117-T4-K_S719_L002_R1_001.fastq"	586714	455071
"OF61-118-T4-K_S720_L002_R1_001.fastq"	617038	435125
"OF61-119-T4-K_S721_L002_R1_001.fastq"	553265	425048
"OF61-120-T4-K_S722_L002_R1_001.fastq"	629351	496511
"OF61-71-T0-C_S306_L001_R1_001.fastq"	599586	489676
"OF61-72-T0-C_S307_L001_R1_001.fastq"	535998	414729
"OF61-73-T0-C_S308_L001_R1_001.fastq"	578661	400264
"OF61-74-T0-C_S309_L001_R1_001.fastq"	482016	318945
"OF61-75-T0-C_S310_L001_R1_001.fastq"	553591	395530
"OF61-76-T1-C_S311_L001_R1_001.fastq"	486936	329689
"OF61-77-T1-C_S312_L001_R1_001.fastq"	542146	418319
"OF61-78-T1-C_S313_L001_R1_001.fastq"	493964	334546
"OF61-79-T1-C_S314_L001_R1_001.fastq"	451408	304356
"OF61-80-T1-C_S315_L001_R1_001.fastq"	525258	276022
"OF61-81-T2-C_S316_L001_R1_001.fastq"	666110	485355
"OF61-82-T2-C_S317_L001_R1_001.fastq"	534588	413392
"OF61-83-T2-C_S318_L001_R1_001.fastq"	537496	349900
"OF61-84-T2-C_S319_L001_R1_001.fastq"	623053	463300
"OF61-85-T2-C_S320_L001_R1_001.fastq"	521857	396583
"OF61-86-T3-C_S321_L001_R1_001.fastq"	306451	248629
"OF61-87-T3-C_S322_L001_R1_001.fastq"	592457	395962
"OF61-88-T3-C_S323_L001_R1_001.fastq"	557501	373093
"OF61-89-T3-C_S324_L001_R1_001.fastq"	487004	389653
"OF61-90-T3-C_S325_L001_R1_001.fastq"	607894	483396
"OF61-91-T4-C_S326_L001_R1_001.fastq"	533016	383087
"OF61-92-T4-C_S327_L001_R1_001.fastq"	765198	509652
"OF61-93-T4-C_S328_L001_R1_001.fastq"	489386	343415
"OF61-94-T4-C_S329_L001_R1_001.fastq"	674661	490795
"OF61-95-T4-C_S330_L001_R1_001.fastq"	613993	499747
"OF61-96-T0-K_S331_L001_R1_001.fastq"	507737	399735
"OF61-97-T0-K_S332_L001_R1_001.fastq"	648194	504908
"OF61-98-T0-K_S333_L001_R1_001.fastq"	410962	248250
"OF61-99-T0-K_S334_L001_R1_001.fastq"	487709	351081
